Route,Route Half,Date,Time,Address,Species,Caste,Nest_search_slow,Nest_search_fast,Foraging,Other,Note
8,Whole,1/26/22,12:09,1138 Ranleigh,Vosnesenskii,Queen,0,1,0,0,"**Species or nest searching speed was not noted, but predicted from memory "
12,Whole,2/1/22,11:24,2425 Grant,Vosnesenskii,Queen,0,1,0,0,Flying over large bark mulch
12,Whole,2/1/22,11:28,2325 Grant,Unk,Queen,0,0,1,0,Melanopygus or vosnesenskii; nectaring on salvia 'hotlips'
4,Whole,2/4/22,13:29,2131 Derby,Vosnesenskii,Queen,1,0,0,0,"Flower rich, mulched yard"
11,Whole,2/7/22,14:13,744 Spruce,Vosnesenskii,Queen,1,0,0,0,Over pavement
10,Whole,2/8/22,15:19,1741 San Lorenzo,Vosnesenskii,Queen,0,1,1,0,Nectaring on sweet pitasporum
5,Whole,2/15/22,12:49,1421 Stannage,Vosnesenskii,Queen,0,1,0,0,"Small, maybe a large worker or a small queen; searching around oxalis"
13,Whole,2/16/22,16:15,2111 Carlson,Vosnesenskii,Queen,1,0,0,0,In oxalis patch
8,Whole,2/18/22,12:49,707 Walavista,Vosnesenskii,Queen,0,1,0,0,"Small, maybe a large worker or a small queen"
8,Whole,2/18/22,15:04,3701 Balfour,Vosnesenskii,Queen,0,1,0,0,Searching over lawn
3,Whole,2/25/22,NA,87 Eucalyptus,Unk,Unk,0,0,1,0,"Foraging, maybe not a bumble bee"
4,Whole,3/8/22,13:56,2800 Park ,Vosnesenskii,Queen,0,1,0,0,
13,Whole,3/24/22,13:13,10766 San Pablo ,Vosnesenskii,Queen,0,1,0,0,In juniper bushes
8,Whole,4/25/22,12:04,744 Walavista,Vosnesenskii,Queen,0,1,0,0,
13,Whole,4/27/22,14:07,852 Shevlin,Vosnesenskii,Queen,0,0,1,0,Nectaring on bottlebrush; sylvie notes this may be a forager
9,Whole,5/3/22,14:27,84 Menlo,Vosnesenskii,Queen,1,0,0,0,
5,Whole,5/4/22,13:05,1200 Stannage,Vosnesenskii,Queen,1,0,0,0,On lawn
11,Whole,5/5/22,15:07,612 Spruce,Vosnesenskii,Queen,1,0,0,0,
6,Whole,5/9/22,14:04,1119 Channing,Vosnesenskii,Queen,0,0,1,0,Pollen foraging on sedum
4,Whole,5/20/22,11:23,2515 Russell,Vosnesenskii,Queen,0,0,1,0,
4,Whole,5/20/22,13:35,2800 Park ,Vosnesenskii,Queen,0,1,0,0,Unknown if searching fast or slow
12,A,5/23/22,14:13,1520 McGee,Vosnesenskii,Queen,0,1,0,0,
12,A,5/23/22,14:50,1300 Rose,Vosnesenskii,Queen,0,1,0,0,
3,Whole,5/24/22,13:50,20 Eucalyptus,Vosnesenskii,Queen,0,0,1,0,Nectaring
3,B,6/27/22,13:45,5921 Chambolyn Crest,Vosnesenskii,Queen,0,0,1,0,Lavendar
1,B,7/14/22,14:44,5108 Shafter,Vosnesenskii,Queen,0,0,1,0,Lantana
15,A,9/29/22,12:22,1275 61st,Vosnesenskii,Queen,0,0,1,0,With pollen in corbicula
9,A,10/7/22,12:44,709 Peralta,Vosnesenskii,Queen,0,1,0,0,Unknown if searching fast or slow; or searching at all
14,A,10/20/22,15:37,111 Dudley,Vosnesenskii,Queen,0,0,1,0,
3,B,10/27/22,11:23,35 Ross ,Vosnesenskii,Queen,0,1,0,0,
15,B,10/28/22,13:15,1275 61st,Vosnesenskii,Queen,0,1,0,0,
9,B,11/4/22,10:47,311 Ramona,Vosnesenskii,Queen,0,1,0,0,"flying overhead( 5 ft), fast, still exhibiting nest search behavior"
9,B,11/4/22,11:12,601 Cornell,Vosnesenskii,Queen,1,0,0,0,
9,B,11/4/22,13:13,519 Pomona,Vosnesenskii,Queen,1,0,0,0,
8,B,11/22/22,13:53,3879 Walavista,Vosnesenskii,Queen,0,1,0,0,
9,A,12/7/22,14:05,144 Carmel,Vosnesenskii,Queen,0,1,0,0,On lawn
12,B,12/21/22,13:45,2420 Grant,Vosnesenskii,Queen,1,0,0,0,
13,B,12/22/22,14:50,6615 Schmidt,Vosnesenskii,Queen,1,0,0,0,Over mulch
4,A,12/23/22,11:38,Emerson Elementary,Vosnesenskii,Queen,0,0,1,0,On lemmons marigold
11,B,11/3/22,15:17,409 Oceanview,Melanopygus,Queen,0,0,1,0,Manzanita
9,A,6/13/23,12:35,122 Pomona,Vosnesenskii,Worker,0,0,1,0,Hollyhock
1,A,6/13/23,15:25,5255 Shafter,Vosnesenskii,Queen,0,0,1,0,Iris
9,A,2/20/23,14:13,705 Peralta,Vosnesenskii,Queen,0,1,0,0,Took video
8,A,2/23/23,14:32,663 Carleston,Vosnesenskii,Queen,0,1,0,0,
1,B,1/28/23,12:10,406 Hudson,Melanopygus,Male,0,0,1,0,
1,B,1/28/23,13:09,442 48th,Unk,Queen,0,0,1,0,Nectaring on mexican tarragon
1,B,1/28/23,13:15,322 45th,Melanopygus,Worker,0,0,1,0,on manzanita
1,B,1/28/23,13:25,4256 Terrace,Vosnesenskii,Queen,0,1,0,0,Over lawn
4,A,2/17/23,14:11,2649 Benvenue,Vosnesenskii,Queen,0,1,0,0,Over grassy meadow
4,A,2/17/23,15:46,1640 Derby,Melanopygus,Worker,0,0,1,0,On lavendar
9,B,1/31/23,12:47,7485 Curry,Vosnesenskii,Queen,0,0,1,0,on manzanita
9,B,1/31/23,12:47,7485 Curry,Vosnesenskii,Queen,0,0,1,0,on manzanita
9,B,1/31/23,12:47,7485 Curry,Vosnesenskii,Queen,0,0,1,0,on manzanita
9,B,1/31/23,12:47,7485 Curry,Melanopygus,Queen,0,0,1,0,on manzanita
9,B,1/31/23,12:47,7485 Curry,Melanopygus,Worker,0,0,1,0,on manzanita
9,B,1/31/23,14:07,614 Peralta,Vosnesenskii,Queen,0,0,1,0,On rosemary
9,B,10/13/23,13:05,208 Carmel,Melanopygus,Queen,0,1,0,0,
4,A,9/26/23,12:42,Emerson Elementary,Vosnesenskii,Queen,0,0,1,0,On tropical milkweed
9,A,11/28/23,13:20,1455 Thousand Oaks,Melanopygus,Queen,0,0,1,0,Manzanita
9,A,1/5/24,11:50,1599 Thousand oaks,Melanopygus,Queen,0,0,1,0,Manzanita
9,B,7/11/23,12:01,217 Carmel,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
9,B,7/11/23,12:01,217 Carmel,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
9,B,7/11/23,12:09,331 Ramona,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
9,B,7/11/23,12:09,331 Ramona,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
9,B,7/11/23,12:22,138 Ramona,Vosnesenskii,Worker,0,0,1,0,
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
4,B,7/10/23,14:16,1305 Ward,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
4,B,7/10/23,14:16,1305 Ward,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
4,B,7/10/23,14:20,2703 Mabel,Vosnesenskii,Worker,0,0,1,0,Pollen and nectar foraging on artichoke
9,B,5/23/23,12:35,120 Pomona,Vosnesenskii,Worker,0,0,1,0,Nectaring
11,,1/13/22,,,Vosnesenskii,Queen,0,1,0,0,